kabupaten,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm_year,precip_hours_day,humidity_pct,sunshine_hrs_day,shortwave_radiation,et0_mm_day,vapour_pressure_def,wind_speed,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_temperature,centroid_lat,centroid_lon,province
Kota Cimahi,21.88260788981211,26.358307726064826,18.570492709970807,3272.875,8.656309457107568,83.27815167396511,9.302074271425942,18.566469655288568,3.5776905301669286,1.2679746813945654,5.8574212487835915,0.36299097235945804,0.3612664921682012,22.74974721068194,-6.87,107.54,Jawa Barat
Kota Cirebon,27.7255583576615,31.82668166123961,24.510245512388654,2130.925,5.903772230331612,74.51557635021334,10.073277056665917,19.557660402163336,4.654364498559024,2.1026529841305486,9.531739247885321,0.16277695923160415,0.15171136483831124,29.281956452578786,-6.7319,108.5523,Jawa Barat
Kota Depok,26.356565424058687,31.200079289243206,22.914389449060558,2799.9125,7.8400703364772815,81.32152718392095,9.330100179217506,18.292612695561044,3.8804402212927616,1.8798689413504006,5.808246093457594,0.4270712513099783,0.42133073543117,27.672933771240363,-6.4025,106.7942,Jawa Barat
Kota Kediri,26.43855441088405,31.040590981735157,23.503076024590165,2111.4375,6.431429132045812,79.86224196421888,9.662657311677625,19.11669297383786,4.369181415244404,1.8518525640953665,13.1144424077401,0.27419218642862486,0.26565370457182425,27.93017730743319,-7.8169,112.0115,Jawa Timur
Kota Madiun,27.29349920184894,32.406214799011906,23.69444026873269,1936.55,5.764910433977095,74.96785992027847,9.697129654773935,19.395574073658207,4.61807617336627,2.36297138810914,9.583148516917435,0.3690470229152631,0.3513932693221798,29.59561627273748,-7.6564,111.5227,Jawa Timur
Kota Magelang,23.644258795568533,27.93513969234224,20.360541385957035,2759.2374999999997,9.940933193914216,85.89819951624374,9.09562244181513,17.818927012688075,3.5093972534433715,1.242187842746463,6.622152509544128,0.44160303516356014,0.43472238482483716,24.24562943053372,-7.4797,110.2177,Jawa Tengah
Kota Malang,24.00839184070664,28.184745072610227,21.17163128134591,2952.675,7.915342963545175,83.0651565152706,9.395951287981573,18.2562309800509,3.6692672210681936,1.4104038153117748,5.223842659443072,0.3050404880136986,0.3033650985197245,25.788572804850663,-7.9797,112.6304,Jawa Timur
Kota Mojokerto,27.76382275993712,33.38100407122539,23.887850641889365,1999.1374999999998,5.318327090351074,75.54601404483869,9.838252183102215,19.77372854910547,4.476387523486039,2.653496069503705,6.525248277378546,0.25773176519574814,0.24275893063664944,29.252978498577736,-7.4726,112.4339,Jawa Timur
Kota Pasuruan,27.77316351242608,32.124627771539785,24.088216107118797,1652.35,5.028424263605061,76.60574864510816,10.342642891148083,21.133174561157272,4.612635064656786,2.118290136799162,6.621959649861516,0.2563700009637697,0.26101715240661727,29.3685832060783,-7.6453,112.9068,Jawa Timur
Kota Pekalongan,27.260329606445094,31.299037972527884,23.69441298188487,2211.2,6.936694554233101,78.63613815031066,9.863471491256934,19.55979904839434,4.15018314366719,1.803146343569878,5.425181107305936,0.26970859257803725,0.2572197067426454,28.9883619638446,-6.8899,109.6753,Jawa Tengah
Kota Probolinggo,27.592901453140207,31.378452984879107,24.870720433789955,1759.7875,5.723074185942061,74.3881336655064,10.163440226124605,20.371576430683433,4.992463376749757,1.9558378293659704,13.10391631110113,0.2450892704356613,0.23711400187139753,29.97529911108616,-7.765,113.2158,Jawa Timur
Kota Salatiga,24.11190351261322,28.19591024496594,21.185473231529308,3901.8999999999996,8.39199625720488,80.3779269855528,9.504390577237775,19.112615243468824,3.911674354835691,1.527675733213564,5.1354650544576685,0.31414337569241707,0.3147731693989071,25.00315372688824,-7.3305,110.5084,Jawa Tengah
Kota Semarang,27.4161157964668,31.35199940302418,24.34963680290441,1737.625,6.539773400890785,75.98750802174564,9.835478861161015,19.910182588517106,4.3843571136499735,2.03242624242084,8.180559076278165,0.2554000194906056,0.2419545034433715,29.301805073358786,-6.9932,110.4203,Jawa Tengah
Kota Serang,26.585265878808293,30.65745462422337,23.447809313945655,2409.1625,8.556490512950072,81.70784261640092,9.632297311480087,18.013786755183773,3.785485125570776,1.6433385724979415,5.652151920053896,0.31585545288756645,0.296684437130399,27.773235962646904,-6.1197,106.15,Banten
Kota Sukabumi,22.399698155737706,26.584223751777827,19.634510403099036,3123.8,9.422795918481922,86.91407156130698,9.209174404778613,17.881162004079645,3.421524123718093,1.1911347735608953,4.864667465753424,0.4538158860786735,0.4488730507429448,23.59067619769444,-6.9207,106.927,Jawa Barat
Kota Surabaya,27.74666115914365,31.038171362003144,24.676538632195523,1859.7125,6.441155258627143,76.94344759244704,10.022681882675329,20.32368585878434,4.559051021595928,1.8425548719964069,9.200887529006662,0.1698599559847294,0.16617470372033832,29.709334675125383,-7.2504,112.7688,Jawa Timur
Kota Surakarta,26.41110053054121,31.660684967999103,22.98977315199491,2424.3,6.7600011808518605,78.74059903342317,9.538704052675163,19.441704981660305,4.369330303447114,2.151994982876712,9.42104594281009,0.3876211100849615,0.38617352948386857,28.255911207799983,-7.5569,110.8313,Jawa Tengah
Kota Tangerang,26.716817823190357,31.097632338685532,23.358284441200688,2594.125,8.557695278463957,82.77085254977918,9.747600623024637,18.593616729358484,3.930307962515907,1.7066596552885696,6.6114403838236395,0.32751107596002693,0.3190069158058238,28.15739303746538,-6.1783,106.6333,Banten
Kota Tasikmalaya,23.8858099698705,28.094249104536267,20.960532863612546,3220.7375,11.840993194662774,87.53971117879333,8.63842641181611,16.703656895164308,3.32070041414028,1.1869046936522194,4.594568362152856,0.262807160294558,0.25638820693914216,24.976597824500338,-7.3548,108.2207,Jawa Barat
Kota Tegal,26.63790623549667,30.72852106538663,23.334588791264316,2223.1375,7.4838415637398015,79.88999958080694,9.931840339071245,19.711826800284452,4.1907392471367615,1.7688868548356913,7.9284282871098135,0.2874387709783666,0.2790254307395763,28.323282521146794,-6.8694,109.1402,Jawa Tengah
Kota Yogyakarta,25.86512832266637,30.539151091024777,22.536540554120815,2520.475,8.400413786585823,81.91962010816678,9.10091576214485,18.11011742551838,3.8130867620143727,1.7190939042967288,6.063627493637248,0.20289959687289466,0.19209453984205405,27.207459265289316,-7.7956,110.3695,DI Yogyakarta
Kudus,26.88569105097687,31.732990408151807,23.491012335317016,2117.2875,7.267318361217157,78.39697527696684,9.54304825211208,18.858602639606257,4.141509324331911,2.139638730069616,7.871478736245228,0.39043264428475183,0.37839392025974994,27.954688483419417,-6.8048,110.8366,Jawa Tengah
Kulon Progo,25.884230665656112,29.58967696216034,23.125928331087653,2972.0125,10.041245019275395,85.14123262220227,9.419270522959449,18.404841088404822,3.7085886006624746,1.2855486366868778,6.79354565929336,0.3341275961711206,0.32144586321019536,27.270037304438954,-7.8222,110.1567,DI Yogyakarta
Kuningan,23.51853876319335,27.574063182124412,21.066511362190283,3381.525,8.069189283441874,83.79124749513437,9.53898438031009,18.38039579029119,3.7121446177670485,1.2736473115502658,8.975269019949097,0.3153256375383636,0.3026950050527734,24.591067881203685,-6.976,108.4787,Jawa Barat
Lamongan,27.634984836065573,32.07645941032263,24.199500118833743,2141.725,6.670056431993412,77.1716259993263,9.792441243933553,19.651980180028445,4.420769180047159,2.1746800232988996,8.046710561232128,0.37699869921027024,0.36175443690583126,30.014359353245005,-7.1177,112.4148,Jawa Timur
Lebak,25.7629008430646,30.030103952391645,22.530271013923198,2421.825,8.003845738827756,82.9455548263343,9.376159484575526,17.759905685305785,3.6649445210157947,1.5307362609476756,6.631912191219403,0.3202583917022232,0.3050503804831948,26.727085780185643,-6.5584,106.251,Banten
Lumajang,25.498355576764727,29.5111555982858,22.660907772849765,2818.1125,10.362826007747586,85.54372299199042,9.419627991322434,18.057141551575718,3.629368138801557,1.2706664044838685,6.137373887454151,0.24804526658058237,0.23677279613930682,26.327403092484467,-8.135,113.222,Jawa Timur
Madiun,27.29349920184894,32.406214799011906,23.69444026873269,1936.55,5.764910433977095,74.96785992027847,9.697129654773935,19.395574073658207,4.617728700033686,2.36297138810914,9.583148516917435,0.3690470229152631,0.3513932693221798,29.59561627273748,-7.6298,111.5239,Jawa Timur
Magelang,23.644258795568533,27.93513969234224,20.360541385957035,2759.2374999999997,9.940933193914216,85.89819951624374,9.09562244181513,17.818927012688075,3.5080471406916685,1.242187842746463,6.622152509544128,0.44160303516356014,0.43472238482483716,24.24562943053372,-7.4802,110.2158,Jawa Tengah
Magetan,25.246347825436036,29.425246783067593,22.62185357624074,4400.9375,7.806253898121117,76.79394128396586,9.639168231446133,19.544753700688673,4.43483631110113,1.7236274742682833,10.69948954730893,0.38834204319185567,0.3826186308294034,27.469492505052774,-7.6499,111.3286,Jawa Timur
Majalengka,26.158951967774534,30.719446396623997,22.928446340482072,2300.775,6.696845497417471,76.61280400104798,9.459997526763583,18.212727900666216,4.207763179878733,1.9378334219440079,8.678462502807097,0.39226378824200914,0.3797443793603563,27.42612163335579,-6.8358,108.2278,Jawa Barat
Malang,24.651241926790927,29.098914365783365,21.49100304476383,1950.1,6.781491338236395,81.61747398570252,9.492804656255458,18.720182207687703,3.8604014903810167,1.5779744419492476,6.779021328317988,0.28500224710869076,0.2768476983307134,26.395969628153306,-8.1565,112.6288,Jawa Timur
Mojokerto,27.76382275993712,33.38100407122539,23.887850641889365,1999.1374999999998,5.318327090351074,75.54601404483869,9.838252183102215,19.77372854910547,4.476430868702748,2.653496069503705,6.525248277378546,0.25773176519574814,0.24275893063664944,29.252978498577736,-7.47,112.4343,Jawa Timur
Nganjuk,27.251609508571,32.219074689348005,23.48105039018639,1749.8375,5.660588096975822,74.45099595965267,9.666638539275436,19.67171586757991,4.685431638689273,2.3207587088292536,8.695933990193877,0.3542955269294109,0.33572894504641065,29.480115351074183,-7.603,111.905,Jawa Timur
Ngawi,27.081374452616213,32.14208981585448,23.636992306684633,2485.3,6.347208192978516,75.90216200127256,9.65325626593547,19.690946421887865,4.626582850606333,2.2562628879407143,9.119638201774086,0.39180204993824386,0.3854647065929336,29.293533729133916,-7.409,111.4469,Jawa Timur
Pacitan,26.245233602814583,29.20081552137136,24.014294396100006,2145.6875,8.68872604423984,84.46438633131223,9.602804147206731,18.789444543004716,3.8089240518564265,1.1484664664271278,10.005723640429673,0.3020851066509469,0.29433956535855976,27.968892751141553,-8.1955,111.0984,Jawa Timur
Pamekasan,27.087050129126432,30.7870406430122,24.288705025638148,1877.4625,6.029469423235272,79.00953133280935,10.086476023683055,19.914399506886742,4.3077756887678715,1.8249284146455573,8.556621700726103,0.2670499214668014,0.2590054039037353,28.418795799648176,-7.1567,113.4726,Jawa Timur
Pandeglang,25.334017386219028,29.11625322816079,22.78201230163186,2351.975,9.218090676697358,82.74866331405794,9.424580165478329,17.410043840294932,3.5482905579571824,1.4530947586832847,5.496164042031589,0.41441740532599747,0.3882055261621379,26.629495811812262,-6.3083,106.1067,Banten
Pangandaran,25.893888504004792,28.380149489108465,23.8954866559997,2967.125,12.35293003031664,87.65061516580582,9.489950427214072,18.483332082304063,3.592660852702298,0.9166279078710982,8.271907946889737,0.34439768723332587,0.32659123762070513,27.0331024515308,-7.6866,108.6543,Jawa Barat
Pasuruan,27.77316351242608,32.124627771539785,24.088216107118797,1652.35,5.028424263605061,76.60574864510816,10.342642891148083,21.133174561157272,4.612635064656786,2.118290136799162,6.621959649861516,0.2563700009637697,0.26101715240661727,29.3685832060783,-7.6457,112.907,Jawa Timur
Pati,26.88348727730369,31.393702183920954,23.559682832734488,1952.6125000000002,7.075812513099783,79.85224139624972,9.808920766300911,19.446088409499215,4.1335964626843325,1.919475004584924,5.972715628041021,0.41156085561232125,0.4006344954618609,28.283005515944307,-6.751,111.0385,Jawa Tengah
Pekalongan,27.260329606445094,31.299037972527884,23.69441298188487,2211.2,6.936694554233101,78.63613815031066,9.863471491256934,19.55979904839434,4.15018314366719,1.803146343569878,5.425181107305936,0.26970859257803725,0.2572197067426454,28.9883619638446,-6.8898,109.675,Jawa Tengah
Pemalang,26.93162103544427,31.47297056104499,23.420863760386258,2465.9625,7.26741532955311,78.80857693315367,9.863304888784404,19.598366162325025,4.335861322516656,1.954283775263867,6.922421201998652,0.394344404886219,0.3916662391178232,28.048929265850738,-6.8927,109.3766,Jawa Tengah
Ponorogo,27.007181252339247,31.750242000711133,23.56813682723258,1831.4250000000002,5.5327675293809415,76.19976005408338,9.739622639827187,19.305777589078524,4.51903453196347,2.087586918931058,10.386447739351748,0.2649780654895576,0.2522766109551613,28.6997081284153,-7.8636,111.4636,Jawa Timur
Probolinggo,27.592901453140207,31.378452984879107,24.870720433789955,1759.7875,5.723074185942061,74.3881336655064,10.163440226124605,20.371576430683433,4.992547232483719,1.9558378293659704,13.10391631110113,0.2450892704356613,0.23711400187139753,29.97529911108616,-7.7697,113.2154,Jawa Timur
